Transaction_ID,User_ID,Recharge_Type,Amount,Date,Payment_Status,Reason
RCG_46F40BE55ECB,PP1070797,Electricity Bill,1954.45,2024-02-01,Successful,Successful
RCG_164B5F26A311,PP1074057,Electricity Bill,1124.64,2024-05-25,Successful,Successful
RCG_D21053B16DC2,PP1078446,Cable TV,1562.92,2024-03-21,Successful,Successful
RCG_5BAA424C0E25,PP1103129,Mobile Recharge,1605.76,2024-04-06,Successful,Successful
RCG_2A4EA52E7BB9,PP0042994,DTH,673.2,2024-01-31,Successful,Successful
RCG_906B5B9B547D,PP0016256,DTH,72.88,2024-01-15,Successful,Successful
RCG_1091F897F0E8,PP0011010,Cable TV,1547.41,2024-03-01,Successful,Successful
RCG_29FC81027FA5,PP0041253,DTH,1095.92,2024-06-07,Successful,Successful
RCG_B4145FE478D4,PP0007150,Cable TV,542.59,2024-11-28,Successful,Successful
RCG_5BCA4D3ECB7F,PP0016257,Electricity Bill,41.74,2024-06-07,Successful,Successful
RCG_E290CED72CA8,PP0049992,Cable TV,400.71,2024-07-23,Successful,Successful
RCG_A8DA9CEAC215,PP0026380,DTH,1750.47,2024-07-05,Successful,Successful
RCG_13B40D66447C,PP1071169,DTH,1313.58,2024-11-01,Successful,Successful
RCG_1FA3FC7B10A1,PP0038419,Cable TV,742.93,2024-10-26,Successful,Successful
RCG_5EB7F7B90C36,PP1089425,Electricity Bill,1615.3,2024-11-30,Successful,Successful
RCG_FC08BD999764,PP0022493,Electricity Bill,1208.84,2024-12-18,Successful,Successful
RCG_6284487A0EA1,PP0036570,DTH,585.66,2024-10-31,Successful,Successful
RCG_1CCF8271C267,PP0004412,DTH,93.1,2024-04-27,Successful,Successful
RCG_01D3FDA6B427,PP0011417,Cable TV,43.97,2024-04-03,Successful,Successful
RCG_1E7065368033,PP0030742,Mobile Recharge,881.33,2024-01-23,Successful,Successful
RCG_BA443C7B8055,PP1063934,Mobile Recharge,959.9,2024-09-26,Successful,Successful
RCG_7F345CEADF7A,PP0017139,Electricity Bill,1274.95,2024-03-28,Successful,Successful
RCG_40D033464178,PP1053943,Cable TV,1070.63,2024-05-01,Successful,Successful
RCG_B3E0F17040BC,PP0048818,DTH,149.08,2024-06-01,Successful,Successful
RCG_EA0FB29C8BB3,PP1081362,DTH,1292.38,2024-02-19,Successful,Successful
RCG_767DFB1FF3BA,PP1105723,Cable TV,634.65,2024-09-08,Successful,Successful
RCG_AB72DB36A407,PP0043346,Mobile Recharge,1330,2024-11-22,Successful,Successful
RCG_93E6BE4ABFD5,PP0005108,Mobile Recharge,1399.43,2024-02-02,Successful,Successful
RCG_93A31927CC9A,PP0029285,Electricity Bill,651.71,2024-08-28,Successful,Successful
RCG_D1F4E9AE563B,PP0017331,Electricity Bill,235.98,2024-03-06,Successful,Successful
RCG_86080D069139,PP0024458,Cable TV,853.38,2024-11-17,Successful,Successful
RCG_B0FDEAB9F05F,PP0019953,Electricity Bill,1726.23,2024-11-20,Successful,Successful
RCG_C17E769F04BE,PP0009877,Cable TV,1396.68,2024-03-09,Successful,Successful
RCG_F36A0484A294,PP1058794,Mobile Recharge,285.37,2024-06-23,Successful,Successful
RCG_FE01C1B025BA,PP1073731,Mobile Recharge,652.62,2024-04-30,Successful,Successful
RCG_28A9DE597E5D,PP0005781,Electricity Bill,129.5,2024-10-09,Successful,Successful
RCG_8A5EEC9CA939,PP1094047,DTH,913.77,2024-09-08,Successful,Successful
RCG_AEFC6F654A71,PP1078041,Cable TV,438.05,2024-05-08,Successful,Successful
RCG_8ADC10BD3AC3,PP1106339,DTH,1156.26,2024-09-21,Successful,Successful
RCG_220D198C0E21,PP0027223,Mobile Recharge,1996.84,2024-09-19,Successful,Successful
RCG_9EACD8A9A04A,PP0004453,Mobile Recharge,305.72,2024-07-29,Successful,Successful
RCG_1E68956BB65A,PP0003802,Electricity Bill,122.51,2024-07-28,Successful,Successful
RCG_1D84150FB200,PP1084353,Mobile Recharge,1180.83,2024-08-25,Successful,Successful
RCG_9138764B242D,PP1080268,Mobile Recharge,224.91,2024-03-20,Successful,Successful
RCG_F59C1DD98E0E,PP0026339,Cable TV,1659.4,2024-12-12,Successful,Successful
RCG_F579A0CA89CC,PP1064156,Electricity Bill,1683.22,2024-01-18,Successful,Successful
RCG_DD90A6529DD4,PP1096809,Mobile Recharge,629.87,2024-02-28,Successful,Successful
RCG_F417B39DA523,PP0015723,Electricity Bill,1507.36,2024-09-19,Failed,Wrong PIN
RCG_C7956914719A,PP1085031,Mobile Recharge,900.08,2024-02-03,Successful,Successful
RCG_1363AA1125A8,PP1063251,DTH,1124.37,2024-02-29,Successful,Successful
RCG_D9E80909EF6D,PP0006367,Electricity Bill,408.65,2024-06-13,Successful,Successful
RCG_39705489EFB0,PP0048943,Mobile Recharge,1077.01,2024-10-24,Successful,Successful
RCG_CAC74B637B9B,PP1081514,DTH,1720.62,2024-05-17,Successful,Successful
RCG_C445B3AC15EC,PP1087154,Cable TV,1134.71,2024-05-15,Failed,Wrong PIN
RCG_B7130FB6BC27,PP0030827,Mobile Recharge,524.8,2024-12-07,Successful,Successful
RCG_87292160A313,PP0013892,DTH,878.49,2024-11-13,Successful,Successful
RCG_7194A9F25F09,PP1094193,DTH,820.04,2024-06-08,Successful,Successful
RCG_922656271CC8,PP0048381,Mobile Recharge,91.92,2024-01-10,Successful,Successful
RCG_E923B193B84D,PP1098476,Cable TV,135.36,2024-07-28,Successful,Successful
RCG_F72DB3FA1D35,PP0043913,Cable TV,448.66,2024-05-18,Successful,Successful
RCG_E4DE1A9CE2F8,PP1083030,Electricity Bill,496.6,2024-09-07,Successful,Successful
RCG_E23818CF65EF,PP0018910,Electricity Bill,1662.94,2024-06-15,Successful,Successful
RCG_48611B34D98B,PP1055194,DTH,871.99,2024-04-15,Successful,Successful
RCG_73265DBA7557,PP1090849,Mobile Recharge,31.38,2024-07-04,Successful,Successful
RCG_996F236E3353,PP1107603,Electricity Bill,422.21,2024-02-18,Successful,Successful
RCG_D4627E754077,PP1093377,DTH,295.18,2024-12-14,Successful,Successful
RCG_C6AB1411FE96,PP0030128,DTH,1977.05,2024-11-15,Successful,Successful
RCG_11B298C49495,PP0021081,DTH,81.24,2024-04-02,Successful,Successful
RCG_39262D6F795A,PP0007516,Cable TV,1455,2024-04-22,Successful,Successful
RCG_1447F00F9425,PP0036738,Electricity Bill,1573.52,2024-11-23,Successful,Successful
RCG_3FD12C6F2585,PP1096380,Electricity Bill,1520.03,2024-07-09,Successful,Successful
RCG_F28823144989,PP0041579,Mobile Recharge,676.28,2024-05-25,Successful,Successful
RCG_33F3D062CD8B,PP1101557,DTH,530.82,2024-12-14,Successful,Successful
RCG_832A37907241,PP1068689,Electricity Bill,1862.65,2024-08-15,Failed,Wrong PIN
RCG_647B8869E9A9,PP1084469,Cable TV,1511.13,2024-06-07,Successful,Successful
RCG_092BFFF115BE,PP0037867,Electricity Bill,1986.77,2024-12-24,Successful,Successful
RCG_30427093F5A1,PP0031603,Electricity Bill,878.71,2024-09-07,Successful,Successful
RCG_54D4235E2457,PP1105435,Cable TV,588.27,2024-05-03,Successful,Successful
RCG_421B3C29168F,PP1079875,Electricity Bill,1458.86,2024-09-30,Successful,Successful
RCG_B7838A2900E5,PP0031255,Mobile Recharge,372.61,2024-11-15,Successful,Successful
RCG_82E9990083E3,PP0027595,Cable TV,551.27,2024-04-27,Successful,Successful
RCG_9046851CA41A,PP0022915,Mobile Recharge,271.4,2024-10-10,Successful,Successful
RCG_A33BA746D0B8,PP1100066,Electricity Bill,1607.24,2024-12-03,Successful,Successful
RCG_022FDE8D221F,PP0040370,DTH,366.65,2024-06-25,Successful,Successful
RCG_8287B6789DF3,PP1064631,Mobile Recharge,1464.55,2024-04-15,Successful,Successful
RCG_9D0BB38EBB19,PP1055354,Electricity Bill,1335.26,2024-03-25,Successful,Successful
RCG_48598B11401A,PP1064905,Electricity Bill,1119.05,2024-09-29,Successful,Successful
RCG_1CC6D0C07678,PP1083381,Mobile Recharge,854.16,2024-03-09,Successful,Successful
RCG_339C5EB998AE,PP1090945,Cable TV,740.31,2024-05-14,Successful,Successful
RCG_10C277EEBD71,PP0045965,Mobile Recharge,1704.84,2024-08-08,Successful,Successful
RCG_9277B5A4B161,PP0021604,DTH,1835.03,2024-06-04,Successful,Successful
RCG_FC1FEB7B57DC,PP1099173,Cable TV,1347.29,2024-06-25,Successful,Successful
RCG_5375C754DEA0,PP0034013,DTH,541.61,2024-09-06,Successful,Successful
RCG_D205EBCBBFA2,PP1063259,Electricity Bill,722.14,2024-12-02,Successful,Successful
RCG_2C7591F5513B,PP0013998,Cable TV,1556.87,2024-08-12,Successful,Successful
RCG_71D1704E69A0,PP0042158,Mobile Recharge,394.13,2024-04-23,Successful,Successful
RCG_F534B3D437D2,PP1065867,Electricity Bill,270.03,2024-07-28,Successful,Successful
RCG_62A8C8187B46,PP0017903,Mobile Recharge,133.72,2024-03-04,Failed,Wrong PIN
RCG_76D39F6F4EA0,PP0010132,Mobile Recharge,1564.11,2024-02-08,Successful,Successful
RCG_D087A1457D9E,PP1060780,Electricity Bill,1758.66,2024-07-03,Successful,Successful
RCG_A6F718395A49,PP1092907,Electricity Bill,108.64,2024-09-23,Successful,Successful
RCG_5ADCC7FC1C01,PP1054719,Electricity Bill,1728.96,2024-02-16,Successful,Successful
RCG_C1C77BFE49B5,PP0025296,Mobile Recharge,1741.62,2024-10-17,Successful,Successful
RCG_0AD1030F0E68,PP0015267,Mobile Recharge,1994.17,2024-10-30,Successful,Successful
RCG_BA0A03A87A81,PP1049418,Electricity Bill,1257.55,2024-01-19,Successful,Successful
RCG_34794D767F78,PP0011698,Electricity Bill,1233.03,2024-01-21,Successful,Successful
RCG_0142DB1A9356,PP0016411,Cable TV,1833.92,2024-06-10,Successful,Successful
RCG_ECEF05F42BD4,PP1061974,Cable TV,951.4,2024-03-19,Successful,Successful
RCG_B62419133BF8,PP0026398,Cable TV,1207.59,2024-10-18,Successful,Successful
RCG_033045A28131,PP0001743,DTH,1011.32,2024-11-30,Successful,Successful
RCG_1F8BF7930AE3,PP1083299,DTH,588.43,2024-04-10,Successful,Successful
RCG_447D4DE5DDF1,PP1101467,Cable TV,151.64,2024-01-03,Successful,Successful
RCG_2EF47A9B14F1,PP1075386,Cable TV,741.64,2024-12-12,Successful,Successful
RCG_EF016C8FB888,PP1071161,Cable TV,1973.24,2024-11-17,Successful,Successful
RCG_489C23A41F8E,PP1049965,DTH,1207.65,2024-04-22,Successful,Successful
RCG_49C397538517,PP1066649,Mobile Recharge,1698.45,2024-04-02,Successful,Successful
RCG_C25E40D61199,PP1068533,DTH,964.44,2024-05-20,Successful,Successful
RCG_4EED2A329E99,PP1101226,Cable TV,80.79,2024-03-04,Successful,Successful
RCG_A3E72A26992D,PP1098488,Electricity Bill,1051.29,2024-10-07,Successful,Successful
RCG_D1B4DAC195D5,PP1054163,Cable TV,1888.15,2024-07-21,Successful,Successful
RCG_9C762229C223,PP0017159,Cable TV,350.28,2024-05-09,Successful,Successful
RCG_439D13503E19,PP0027820,Cable TV,202.49,2024-10-20,Successful,Successful
RCG_23B323A886D2,PP1093328,DTH,1099.46,2024-05-17,Successful,Successful
RCG_98F574307935,PP0037253,Electricity Bill,1155.35,2024-04-08,Successful,Successful
RCG_4EA8EADE1F10,PP1055991,Mobile Recharge,396.13,2024-07-01,Successful,Successful
RCG_DB1A3ADA025B,PP0022802,Mobile Recharge,504.69,2024-11-02,Successful,Successful
RCG_3EB5D6A2A778,PP0014374,DTH,1639.03,2024-01-10,Successful,Successful
RCG_53D054E3390E,PP0017214,Cable TV,1365.69,2024-09-07,Successful,Successful
RCG_4F20AADF3C48,PP1074110,Electricity Bill,599.02,2024-12-26,Successful,Successful
RCG_E3BE0AEF7363,PP1090265,DTH,1478.87,2024-01-19,Successful,Successful
RCG_FD1523F638E6,PP0016561,Cable TV,1479.42,2024-09-19,Successful,Successful
RCG_3383AD436279,PP1102795,Mobile Recharge,1524.91,2024-01-04,Successful,Successful
RCG_E99C3B222875,PP1083315,DTH,240.96,2024-08-02,Successful,Successful
RCG_8E4B061766F7,PP1105839,Electricity Bill,422.37,2024-03-12,Successful,Successful
RCG_6FC14261CE0A,PP0021461,DTH,225.31,2024-08-24,Successful,Successful
RCG_1695AC7CA826,PP1058124,Electricity Bill,1796.13,2024-10-18,Failed,Insufficient amount
RCG_19D46C6C08B7,PP0015156,Electricity Bill,1515.07,2024-08-24,Successful,Successful
RCG_FCD96AFB0248,PP0016559,Electricity Bill,886.48,2024-12-07,Successful,Successful
RCG_57EBCC7B15AE,PP1085536,Mobile Recharge,675.38,2024-01-22,Successful,Successful
RCG_888CC4669D50,PP1073743,Cable TV,380.96,2024-07-31,Successful,Successful
RCG_9DD46F4E24BF,PP0025686,Mobile Recharge,723.89,2024-01-07,Successful,Successful
RCG_676C48C5E5AF,PP1055640,Mobile Recharge,258.2,2024-02-10,Successful,Successful
RCG_5B83A5334F0E,PP1055807,Electricity Bill,1215.69,2024-09-17,Successful,Successful
RCG_030F1D5BEB96,PP1088823,Mobile Recharge,1320.66,2024-03-06,Successful,Successful
RCG_216A742B6A35,PP1089613,Electricity Bill,1891.59,2024-07-10,Successful,Successful
RCG_2D389811DF17,PP0041863,DTH,1829.32,2024-02-26,Successful,Successful
RCG_9E540E2E1CA7,PP1100758,Electricity Bill,1578.42,2024-11-11,Successful,Successful
RCG_C3DBA9F25F81,PP1107023,DTH,1444.63,2024-02-22,Successful,Successful
RCG_1CABDAB2F1C2,PP0036278,Mobile Recharge,397.67,2024-10-06,Successful,Successful
RCG_13156DBD4F6E,PP0044339,Electricity Bill,608.3,2024-01-09,Successful,Successful
RCG_0B23FB3B32CE,PP0033237,Cable TV,1944.22,2024-09-15,Successful,Successful
RCG_5D63EB2AAF73,PP0034551,Mobile Recharge,786.47,2024-08-28,Successful,Successful
RCG_2D706761986E,PP1063412,Electricity Bill,1760.35,2024-08-19,Successful,Successful
RCG_5D7441006392,PP0035973,Cable TV,187.78,2024-10-19,Successful,Successful
RCG_8FEDF27C1A4D,PP1092013,Cable TV,619.57,2024-10-11,Successful,Successful
RCG_6A8B71B65EE5,PP0021790,Cable TV,822.62,2024-09-04,Successful,Successful
RCG_057C68C1D382,PP1086689,DTH,1845.27,2024-05-09,Successful,Successful
RCG_B1A794B397A4,PP1102805,Cable TV,1262.76,2024-07-16,Successful,Successful
RCG_102CA100FF37,PP0024790,Cable TV,715.51,2024-04-01,Successful,Successful
RCG_0454CDF3863E,PP1096113,Mobile Recharge,1611.89,2024-09-03,Successful,Successful
RCG_2C6E4A0172F7,PP0009707,Electricity Bill,502.63,2024-04-17,Successful,Successful
RCG_970E196731A9,PP0009166,Mobile Recharge,58.19,2024-07-24,Successful,Successful
RCG_523FD2C73372,PP0008364,Cable TV,1495.97,2024-12-09,Successful,Successful
RCG_C89F1B5C14AB,PP1096810,Electricity Bill,392.48,2024-09-21,Successful,Successful
RCG_04B0CCDA20B6,PP0010820,Mobile Recharge,1630.64,2024-06-28,Successful,Successful
RCG_100C6683AAF1,PP1066357,Mobile Recharge,1188.8,2024-04-16,Successful,Successful
RCG_7B96A08A6475,PP0007335,DTH,1940.36,2024-09-17,Successful,Successful
RCG_D2CC5392DF3C,PP0023368,DTH,583.04,2024-08-18,Successful,Successful
RCG_4643E17B8501,PP1063320,DTH,1816.91,2024-08-21,Successful,Successful
RCG_C1C9E6055D56,PP0029259,Mobile Recharge,1886.44,2024-03-29,Successful,Successful
RCG_FA817CDB4075,PP0012433,Cable TV,945.05,2024-07-13,Successful,Successful
RCG_23E90BA5C877,PP0048322,Mobile Recharge,1151.77,2024-10-25,Successful,Successful
RCG_638578906501,PP0013377,Cable TV,1139.03,2024-01-23,Successful,Successful
RCG_4174E220ED23,PP0016328,Mobile Recharge,444.07,2024-10-30,Successful,Successful
RCG_FEBE85930339,PP1104185,DTH,686.86,2024-06-03,Successful,Successful
RCG_FB63A41633D5,PP1072085,Electricity Bill,632.95,2024-04-11,Successful,Successful
RCG_00372C9EDBAE,PP1088726,Cable TV,57.57,2024-07-25,Successful,Successful
RCG_F8AF3B25DEEC,PP1087599,Cable TV,1657.89,2024-07-31,Successful,Successful
RCG_9D5CFCA3E638,PP0032686,Mobile Recharge,930.94,2024-06-09,Successful,Successful
RCG_5E553CDC3182,PP1061607,Cable TV,1077.61,2024-03-26,Successful,Successful
RCG_78587E4755EB,PP1081346,Cable TV,1314.82,2024-07-07,Successful,Successful
RCG_7F48534443BD,PP0017786,DTH,714.42,2024-03-01,Successful,Successful
RCG_B2C25D199A0D,PP1097321,DTH,337.5,2024-03-10,Successful,Successful
RCG_C3285EE648B3,PP1057590,DTH,50.27,2024-12-14,Successful,Successful
RCG_38A3DD1D0DB6,PP1063160,Mobile Recharge,359.81,2024-08-16,Successful,Successful
RCG_63A27F9870A3,PP0040798,DTH,1316.2,2024-07-09,Successful,Successful
RCG_6753FB33770B,PP1079351,Cable TV,829.96,2024-07-16,Successful,Successful
RCG_3630C8E62F87,PP0009925,Mobile Recharge,1250.27,2024-12-01,Failed,Server error
RCG_BCBFE35B3BBB,PP0011613,Mobile Recharge,258.13,2024-03-16,Successful,Successful
RCG_69FF91948D19,PP1081431,Cable TV,1909.56,2024-02-09,Successful,Successful
RCG_61D289806BD1,PP1087342,Cable TV,1574.09,2024-08-10,Successful,Successful
RCG_66C9ECC05204,PP0027796,Electricity Bill,27.19,2024-01-11,Successful,Successful
RCG_3908EACA7BA8,PP0037826,Mobile Recharge,1905.29,2024-04-28,Successful,Successful
RCG_53CA6405E7B5,PP1059423,Cable TV,1958.73,2024-08-31,Successful,Successful
RCG_BB63AE4B181E,PP1078499,Cable TV,1982.79,2024-07-21,Failed,Insufficient amount
RCG_AB66C60AA076,PP1056230,Electricity Bill,988.3,2024-06-15,Successful,Successful
RCG_10C3D2455531,PP1085243,Mobile Recharge,797.83,2024-05-21,Successful,Successful
RCG_3B0DDC2015FD,PP0004206,Cable TV,1317.97,2024-10-27,Successful,Successful
RCG_2AB9C65C2C92,PP1096128,DTH,1501.14,2024-03-06,Successful,Successful
RCG_FC87BDCCEBD1,PP0018629,DTH,596.5,2024-10-20,Successful,Successful
RCG_8EBB186F845E,PP1064080,Mobile Recharge,1686.04,2024-02-17,Successful,Successful
RCG_689BF576AE45,PP0021813,Cable TV,993.09,2024-01-10,Successful,Successful
RCG_99A10523C45A,PP0020439,Electricity Bill,486.78,2024-07-13,Successful,Successful
RCG_19E0D41AFA92,PP1088035,Cable TV,232.03,2024-11-07,Successful,Successful
RCG_4ACB49E31CBA,PP1068780,Cable TV,1734.15,2024-09-30,Successful,Successful
RCG_A12DF4BAD49C,PP1089344,Electricity Bill,1356.64,2024-02-18,Successful,Successful
RCG_4BFF90E18CCE,PP1081934,Mobile Recharge,557.28,2024-03-16,Successful,Successful
RCG_F4C0B870E982,PP0024458,Cable TV,1627.12,2024-09-17,Successful,Successful
RCG_8426CC10D571,PP1073434,Electricity Bill,1406.29,2024-10-15,Failed,Wrong PIN
RCG_1F22649964F5,PP0004336,Cable TV,320.99,2024-12-10,Successful,Successful
RCG_6C8B9232CDED,PP1098558,Cable TV,1649.79,2024-12-11,Successful,Successful
RCG_0A6E875A0E60,PP0042281,DTH,933,2024-09-18,Successful,Successful
RCG_54E69424130C,PP0045348,Mobile Recharge,393.51,2024-09-05,Successful,Successful
RCG_2DFAD4C7F467,PP0016474,Electricity Bill,113.47,2024-09-22,Successful,Successful
RCG_EE779B461D51,PP1062703,Cable TV,1334.78,2024-07-16,Successful,Successful
RCG_523BC185158C,PP1099957,Electricity Bill,1760.81,2024-05-06,Successful,Successful
RCG_D70065385D51,PP1071549,DTH,364.06,2024-05-06,Successful,Successful
RCG_FBCD891AD7BC,PP0026180,Electricity Bill,349.4,2024-12-15,Successful,Successful
RCG_CB0050F2939F,PP0009965,Cable TV,1242.48,2024-09-17,Successful,Successful
RCG_B259A4A2E513,PP0019205,Mobile Recharge,781.02,2024-11-18,Successful,Successful
RCG_66715858D192,PP1076530,Electricity Bill,571.1,2024-06-03,Successful,Successful
RCG_1E3E1C2FB001,PP1089983,Cable TV,748.39,2024-06-16,Successful,Successful
RCG_F01AC6A89CF3,PP0038121,Mobile Recharge,1662.05,2024-03-27,Successful,Successful
RCG_7FB4012300D0,PP1105181,Mobile Recharge,141.74,2024-12-08,Successful,Successful
RCG_6A82779836EF,PP0048822,Cable TV,848.89,2024-11-03,Successful,Successful
RCG_1CD8DD237A55,PP1066325,Electricity Bill,1086.34,2024-06-04,Successful,Successful
RCG_039FAD448785,PP1086592,Mobile Recharge,445.44,2024-01-31,Successful,Successful
RCG_2906FD6F0554,PP1094083,Cable TV,1215.06,2024-05-15,Successful,Successful
RCG_6F590E90938C,PP0006743,Mobile Recharge,500.67,2024-09-06,Successful,Successful
RCG_D6AE62C2D20C,PP0039490,DTH,378.88,2024-05-21,Successful,Successful
RCG_DBF80277870A,PP0024351,Electricity Bill,711.21,2024-03-31,Successful,Successful
RCG_9D825DED551A,PP1079303,DTH,1449.88,2024-09-14,Successful,Successful
RCG_545FA9CAD132,PP1051293,Mobile Recharge,425.35,2024-01-16,Successful,Successful
RCG_C286ABC9A56F,PP1085212,Electricity Bill,791.67,2024-10-24,Successful,Successful
RCG_6CC2C7606911,PP0002600,Electricity Bill,1429.29,2024-08-16,Successful,Successful
RCG_49ABBEEC5B31,PP0037798,Cable TV,770.86,2024-09-28,Successful,Successful
RCG_E06B676B2BC9,PP1084178,Electricity Bill,1916.02,2024-11-01,Successful,Successful
RCG_2561BDE28541,PP0001185,Cable TV,1701.12,2024-11-24,Successful,Successful
RCG_688D17F72B7D,PP1102769,DTH,1780.81,2024-02-04,Successful,Successful
RCG_09C8696D1EF5,PP1063739,Cable TV,783.83,2024-02-24,Successful,Successful
RCG_CE52BC456E17,PP0031280,Electricity Bill,814.08,2024-03-30,Successful,Successful
RCG_6B47D3499B25,PP0018708,Mobile Recharge,1000.18,2024-02-17,Failed,Server error
RCG_6C3AEA17AE6E,PP0022431,DTH,685.31,2024-06-18,Successful,Successful
RCG_5A7841272D8B,PP0030612,DTH,245.47,2024-12-30,Successful,Successful
RCG_0DB51E311CC5,PP1094049,Electricity Bill,515.51,2024-10-23,Successful,Successful
RCG_3B914E57D56D,PP1075000,Cable TV,1296.55,2024-01-19,Successful,Successful
RCG_5306BF26F1F9,PP1049720,Mobile Recharge,1858.62,2024-09-07,Successful,Successful
RCG_F1842E4E2691,PP0022548,Cable TV,1269.36,2024-03-18,Successful,Successful
RCG_21559B7874BF,PP0023608,Electricity Bill,835.23,2024-04-01,Successful,Successful
RCG_A97B95E3D7F7,PP1054967,Electricity Bill,1380.53,2024-04-18,Successful,Successful
RCG_8678099FD7E4,PP1053866,DTH,1667.68,2024-08-12,Successful,Successful
RCG_C82B37FDEFDD,PP1099675,Electricity Bill,1889.75,2024-09-30,Successful,Successful
RCG_DE8D76E8A251,PP1052823,Mobile Recharge,1884.53,2024-08-09,Successful,Successful
RCG_183C24331721,PP1066238,Cable TV,897.28,2024-03-01,Successful,Successful
RCG_075E1298FB42,PP0044012,Mobile Recharge,1539.35,2024-03-03,Successful,Successful
RCG_0C7036392318,PP1065968,Mobile Recharge,1049.54,2024-03-01,Successful,Successful
RCG_86CC0742CABB,PP0031742,DTH,1657.63,2024-08-02,Successful,Successful
RCG_A997F8C584B2,PP0034089,Mobile Recharge,519.03,2024-09-11,Successful,Successful
RCG_E6BA7BEBECD2,PP0012608,DTH,160.19,2024-02-06,Successful,Successful
RCG_DC5C0DCB3E33,PP0049822,Cable TV,1692.92,2024-05-09,Successful,Successful
RCG_4EBE7BF6215D,PP0006707,Cable TV,1273.92,2024-06-12,Successful,Successful
RCG_AB6A14C26FF3,PP0005785,DTH,287.79,2024-05-20,Successful,Successful
RCG_B88C954A5B63,PP1099131,DTH,1299.77,2024-02-16,Successful,Successful
RCG_70CD0429B295,PP0047103,Cable TV,1569.79,2024-11-06,Successful,Successful
RCG_BA8070E80E5A,PP0016908,Mobile Recharge,741.13,2024-08-06,Successful,Successful
RCG_498705AC243C,PP0000805,Electricity Bill,579.69,2024-09-21,Successful,Successful
RCG_CBE20464F017,PP0009391,Mobile Recharge,511.69,2024-11-14,Successful,Successful
RCG_E13CDFD3D5CE,PP1058382,Electricity Bill,381.13,2024-11-27,Successful,Successful
RCG_E573327D9AF4,PP0040907,Cable TV,996.45,2024-07-10,Successful,Successful
RCG_E840DBF93057,PP0008185,Cable TV,101.72,2024-03-26,Successful,Successful
RCG_788E113951EE,PP0012363,Electricity Bill,472.03,2024-10-17,Successful,Successful
RCG_4C556B17EB1A,PP1077263,Mobile Recharge,1393.81,2024-01-03,Successful,Successful
RCG_2FB0FB3914AF,PP1090776,Electricity Bill,1147.23,2024-09-04,Failed,Insufficient amount
RCG_0422CC813790,PP0015044,Electricity Bill,406,2024-10-31,Successful,Successful
RCG_1D8F791B127A,PP1058996,DTH,234.21,2024-11-07,Successful,Successful
RCG_8CC558DFF91A,PP1095676,DTH,987.3,2024-04-27,Successful,Successful
RCG_E9C8ABAB44AF,PP0045702,DTH,1214.3,2024-03-29,Successful,Successful
RCG_9BD0A1A13465,PP1100008,Electricity Bill,569.81,2024-09-05,Successful,Successful
RCG_5C9542D73F0E,PP1095056,DTH,159.33,2024-01-01,Successful,Successful
